,id,some_number
777,2319,0
778,2364,72
779,2326,15
780,2319,3
781,2326,0
782,2319,3
783,2319,0
784,1572,17
785,1916,0
786,2536,0
787,2319,3
788,2273,3
789,2326,10
790,2319,0
791,1913,0
792,2326,0
793,1585,9
794,2319,3
795,2326,15
796,2319,3
797,2319,64
798,2273,3
799,1913,0
800,2326,15
801,2326,15
802,2319,3
803,1966,4
804,1908,9
805,953,6
806,2205,43
807,2326,15
808,953,0
809,1585,14
810,1999,4
811,1916,24
812,1999,4
813,2319,3
814,1916,20
815,2326,15
816,2319,0
817,1585,147
818,2319,3
819,2326,0
820,2326,15
821,2326,15
822,2734,0
823,2326,15
824,2319,0
825,2319,0
826,2364,167
827,2319,0
828,1585,9
829,1913,0
830,2319,3
831,2319,3
832,2319,3
833,2319,0
834,2326,15
835,2319,0
836,1913,0
837,2319,16
838,2326,26
839,2326,15
840,2319,0
841,1916,24
842,2319,9
843,2319,0
844,2326,15
845,2364,166
846,2326,17
847,2326,348
848,2326,15
849,2326,15
850,1585,9
851,1908,72
852,2319,3
853,2319,0
854,2326,15
855,2319,9
856,1572,17
857,2273,20
858,2319,0
859,1529,15
860,2319,3
861,2326,305
862,2326,10
863,2097,9
864,2326,26
865,2319,0
866,2319,0
867,2319,9
868,2273,10
869,490,399
870,2319,0
871,2326,15
872,2205,0
873,2319,0
874,1585,4
875,2326,15
876,2326,9
877,2326,15
878,2326,15
879,2319,0
880,1916,0
881,2205,0
882,1966,4
883,1916,0
884,2319,3
885,1482,293
886,1585,9
887,2326,27
888,1482,292
889,1529,15
890,1482,238
891,2319,3
892,2326,15
893,2326,15
894,2097,0
895,1585,73
896,2097,25
897,2326,17
898,2319,9
899,1773,0
900,1572,15
901,2326,15
902,2326,351
903,1916,3
904,953,6
905,2734,0
906,1916,3
907,2326,15
908,2280,0
909,953,0
910,2319,3
911,2837,17
912,2326,15
913,2097,75
914,2319,0
915,2326,10
916,2326,0
917,2326,365
918,2319,0
919,2326,15
920,1482,121
921,2319,3
922,1916,0
923,1585,73
924,772,72
925,2326,15
926,2319,3
927,2326,15
928,2097,39
929,2326,15
930,2319,0
931,2326,15
932,2326,15
933,2326,0
934,2319,0
935,2326,17
936,1482,125
937,1913,0
938,2326,15
939,2319,3
940,1913,0
941,1916,0
942,1913,0
943,2097,39
944,1913,0
945,2326,15
946,1572,15
947,1916,0
948,2326,15
949,2319,0
950,2326,370
951,2319,3
952,1572,15
953,2326,15
954,953,0
955,72,6
956,953,0
957,2319,0
958,2319,9
959,2097,39
960,380,395
961,2326,371
962,2319,3
963,2326,17
964,1585,73
965,1916,3
966,2326,15
967,1999,101
968,1916,3
969,2326,15
970,2326,0
971,2319,0
972,2326,15
973,1585,4
974,1916,3
975,1908,72
976,2319,0
977,72,6
978,2273,9
979,2326,0
980,2273,20
981,2326,17
982,2326,22
983,2326,15
984,2097,39
985,2326,15
986,2319,0
987,2326,372
988,1913,0
989,2319,3
990,1913,0
991,2319,24
992,2319,0
993,2097,39
994,2326,15
995,2273,22
996,2634,12
997,2273,10
998,2273,22
999,1572,15
1000,2326,41
1001,2634,15
1002,2326,373
1003,2319,3
1004,1916,17
1005,72,6
1006,2326,15
1007,1916,0
1008,2319,3
1009,1585,0
1010,2273,106
1011,1572,15
1012,1572,15
1013,2326,15
1014,1572,15
1015,2734,0
1016,1572,15
1017,2326,15
1018,1966,4
1019,2205,15
1020,2326,15
1021,2326,15
1022,1585,4
1023,2319,0
1024,2326,27
1025,72,6
1026,2326,201
1027,2319,3
1028,1913,0
1029,2326,15
1030,1773,19
1031,2326,376
1032,2319,0
1033,1999,0
1034,2319,9
1035,2273,3
1036,1913,0
1037,2319,3
1038,1482,176
1039,2326,0
1040,1585,64
1041,2280,0
1042,2319,0
1043,2326,0
1044,1916,3
1045,1585,9
1046,2326,15
1047,2326,0
1048,2326,15
1049,2326,24
1050,2097,10
1051,1585,14
1052,2273,10
1053,2097,10
1054,2319,3
1055,2326,379
1056,2319,0
1057,2273,3
1058,2326,27
1059,2319,0
1060,2319,3
1061,2326,15
1062,1913,0
1063,2319,0
1064,1913,0
1065,1908,10
1066,2319,3
1067,2273,20
1068,1908,9
1069,2319,3
1070,2319,9
1071,2326,15
1072,1585,110
1073,2326,15
1074,2536,0
1075,1572,15
1076,1913,0
1077,2097,39
1078,2734,0
1079,2734,0
1080,2319,3
1081,2326,15
1082,2326,27
1083,1913,0
1084,1913,0
1085,1913,0
1086,72,6
1087,2319,0
1088,2319,3
1089,2319,0
1090,953,0
1091,2326,15
1092,2326,27
1093,1572,15
1094,2273,9
1095,2123,26
1096,1572,15
1097,2097,10
1098,1585,14
1099,2319,0
1100,2326,246
1101,2319,3
1102,1966,4
1103,2319,0
1104,2326,15
1105,2253,4
1106,1913,0
1107,2319,0
1108,2326,400
1109,2319,9
1110,2326,381
1111,2273,68
1112,953,0
1113,2273,3
1114,2319,9
1115,2319,9
1116,2319,9
1117,2319,0
1118,2326,15
1119,2319,3
1120,2205,0
1121,2097,0
1122,2319,0
1123,2326,15
1124,1913,0
1125,1773,0
1126,1572,15
1127,2319,9
1128,2326,92
1129,2195,72
1130,2326,15
1131,2273,9
1132,1585,14
1133,2326,259
1134,2326,348
1135,2319,3
1136,1913,0
1137,1916,101
1138,2326,15
1139,2280,401
1140,2273,147
1141,2326,15
1142,2326,15
1143,1908,9
1144,2319,22
1145,1913,0
1146,2319,0
1147,2097,26
1148,1913,0
1149,2319,3
1150,1913,0
1151,2319,0
1152,2319,0
1153,2326,15
1154,2273,41
1155,953,0
1156,2326,0
1157,1913,0
1158,1908,9
1159,1913,0
1160,2097,39
1161,2326,9
1162,2097,39
1163,2319,9
1164,2319,3
1165,1585,9
1166,2273,83
1167,2326,270
1168,2326,15
1169,2319,3
1170,2147,110
1171,1999,0
1172,1572,17
1173,2326,385
1174,2319,3
1175,2319,3
1176,1572,17
1177,2319,3
1178,2319,0
1179,2347,0
1180,2319,3
1181,2273,60
1182,2326,15
1183,2326,15
1184,2319,3
1185,2319,3
1186,2326,15
1187,2326,15
1188,2319,3
1189,1572,15
1190,2326,15
1191,2319,0
1192,2319,0
1193,2319,3
1194,2273,200
1195,1010,24
1196,1966,402
1197,2319,3
1198,1585,9
1199,2319,0
1200,2326,27
1201,2326,15
1202,1585,14
1203,2326,15
1204,2326,15
1205,2326,26
1206,72,6
1207,2273,3
1208,2319,3
1209,1966,191
1210,2326,15
1211,1916,24
1212,2319,0
1213,2326,15
1214,2326,15
1215,1966,4
1216,2097,39
1217,2326,352
1218,2326,0
1219,2326,15
1220,2319,0
1221,1999,0
1222,2123,403
1223,2319,24
1224,1916,3
1225,2319,9
1226,2326,15
1227,1908,9
1228,2326,15
1229,2326,0
1230,1572,15
1231,1572,17
1232,2319,0
1233,2326,15
1234,2319,24
1235,2319,3
1236,2326,27
1237,2634,15
1238,2273,20
1239,2319,9
1240,1442,4
1241,1916,20
1242,2319,0
1243,1908,15
1244,1916,0
1245,2319,0
1246,2319,24
1247,2319,24
1248,2319,24
1249,2326,15
1250,2319,0
1251,2326,305
1252,2319,24
1253,2319,24
1254,1966,4
1255,1773,19
1256,953,0
1257,2870,10
1258,2326,0
1259,2097,10
1260,2319,24
1261,1585,9
1262,2319,0
1263,1966,0
1264,2319,9
1265,1966,4
1266,2326,15
1267,1913,20
1268,1916,0
1269,2326,26
1270,2326,15
1271,1572,17
1272,2326,15
1273,2599,15
1274,2326,15
1275,2326,0
1276,2319,3
1277,2273,20
1278,2273,83
1279,2326,15
1280,2319,0
1281,2319,0
1282,2319,0
1283,1572,17
1284,2319,0
1285,2319,3
1286,2319,3
1287,2319,3
1288,2273,68
1289,1585,9
1290,2319,3
1291,2273,147
1292,1585,14
1293,1908,15
1294,2326,400
1295,2319,3
1296,2326,0
1297,2326,27
1298,1916,11
1299,2319,3
1300,2326,15
1301,2319,9
1302,2326,15
1303,953,0
1304,2097,75
1305,2326,15
1306,2319,3
1307,2319,3
1308,2319,0
1309,2326,15
1310,1773,19
1311,1913,0
1312,1585,4
1313,2319,3
