id,date,some_number
1908,1c317e63728c18a05208284a10ab2fac9e132745c5dc6b232d1d55f4515189c1,72
2326,8ffdbf492ecafc2415c039ee9d6027ccdebe83115aa5b4a1765723cc658cd869,15
2326,d0434c04d069e10d0e993dff3cdcee764b37ec4e0edc7b63d35c746408f4a3ed,15
2326,f4bb3596a2e55ddc1693962e0121dc320cc4ea71d3b5d95d9d2981876fb60e37,15
1916,9bff15c2b6bcc199f33405fa6d2ae4fe76e23614cfd5ec929850906bf7bd7ff0,0
2326,4330f2f06e35b2ae4de31de0f4375a45be17c540d8cee3e11aca32b6fb53979d,15
2319,5c86835ae9096d382dd7e87d54bec8e0b26b16f7c9eb1c64f5b02c74663f9a37,3
2273,5aa8c03e07fd5244997275cd50f199ad5423c0c85a6453ca04d582e56063c09c,36
1908,b3ea10754709c86a1bd5f0743f2494dc2d4d5bc733ce80840934c80c28b7f6a0,9
1585,18735936b6bec0b2736b7f5c359f927567845d56ddb07d2ab1326804a4ba2ed2,9
2319,fdb25bc41ef39289506afb5e3eb85a07e9b13408900b3d473197594df63678d6,16
380,49947c5a51dd19b891ebe450a01a9bae08962c5abd527c66c95e59e0adca5aab,192
2734,e17f2fc033b7cd40c56f5e0fca78b2b9208973d1475dae0fd1b3259141d51f71,0
2097,9cf8058cf42e0e9762936d98cc3657405da9750ec23c06f082839b701ed28fa2,9
380,b11b04a9e749c627d87489dc22c13c636f07a4a3a203c99437ab17c06ca4f15e,392
2734,e17f2fc033b7cd40c56f5e0fca78b2b9208973d1475dae0fd1b3259141d51f71,0
2319,166f90e6af44684bc6baecb758cb04225d5ea632958775c0092ae53fa612d352,24
2319,3a8d74c46d16f1acf22d11a4d19a3fa14c5fd3bb3ff2387e40f1943349111ca7,0
2326,196c0a8f37036b5b86313a9c58897af6204b0e57bbb8f4ed0e60b70947b79215,15
1916,be97706273bd77619ed40d75659ced26d18ef8774f272bf9c3a0a66bf75fa268,0
1916,28ad4ef1645a293685e2c2ef9ed83801421712933848c00bd4816632e70ee2bc,3
2326,a283b0f8f5eb5d17c541691a4d9c61fad7552e717c4472c237f5ca373e8ef582,15
1585,d92720e7c1330f648f118c28e7cfbca7f9718b648c27cc782f6f096c157f9d28,14
2326,e728a0f55c706d27f085f088f382173f2b021e1f4420a6651e155e07050d6657,15
1916,9bff15c2b6bcc199f33405fa6d2ae4fe76e23614cfd5ec929850906bf7bd7ff0,0
1966,3405fb010deb43aa9494f247e6ded83bc90d58dd6548ae44b9bc997c673c9a59,4
2319,47298e4719a9f3a63b085275f60c0424ec59d00eb1546a65529b279c327f6e12,3
1916,e56ab9bb4770a44bc7cbf341d7a22a730ba2cfca9d914ba0e208becafb0cdd02,0
1908,c9ad20a0507224bece14e21aa5bd07d78b89f17a64e46f0c49613ed02f5acec7,10
1916,28ad4ef1645a293685e2c2ef9ed83801421712933848c00bd4816632e70ee2bc,17
2326,d344643c34149e9295f8096b55672dad3763b9b61438290d4998c5a082879a0d,15
2319,fe13a33950344a58ba07da8b24e690763031c94167cfb9da1b2622a910b729d0,24
2319,fe13a33950344a58ba07da8b24e690763031c94167cfb9da1b2622a910b729d0,24
1999,b45d1043fcdcdad272b93f60375f3cfcb4548ac7f6d44f4cabcc17c7a0edf99d,0
2319,034f05ef26a1025336d616943fb1eebbf8796be721ce8e3bf37e15e4a5a63dc9,3
2319,2709f70dbd0ec9a7812270b9a658edfe6e74933285f42bec35273bb56d1d7a7e,0
2326,366d0b7ee37d1faec00915983308ce1b54a6f9f5670f349bbb7c7c739aec3429,15
2326,fad8534a594941b250004788ce5269fadd0ca8d377d5a55978630ec2efc5d53c,22
2319,fe13a33950344a58ba07da8b24e690763031c94167cfb9da1b2622a910b729d0,24
2319,fe13a33950344a58ba07da8b24e690763031c94167cfb9da1b2622a910b729d0,24
1916,4e7d586f9e663edb5f551c9514c0fe5ea205e335956e67ad950101d1cb6d5c59,0
2326,ddd960ec9a6246caecc3f25c39789e2f2adcf839dacfe4243b7cce998afcc23b,15
2319,47298e4719a9f3a63b085275f60c0424ec59d00eb1546a65529b279c327f6e12,9
2273,ae5c6df1ad83108d0fefa98d1adac51dbf689a26c7484eb38357b644ee3c59b4,10
1585,35f972b8adf6b5957c90315b60fe3562b7b70715d6ca944f80d0908a712327f2,14
1585,cae0d76d984c2d9c8e0e6ca11cbcb3f8be425f630a020a051461774c0d6b9ccd,14
2364,da5268442d803e0985d6630270623d8258333227a4e0325a0ea7e81ea4ef9c5b,161
